Type	I	II	III	IV	Total
Healing	1	9	11	2	23
Poison	4	13	17	4	38
Acid	4	10	9	5	28
Cold	5	15	17	5	42
Explosive	1	5	9	4	19
Toxic	3	14	10	3	30
Fireball	4	9	15	4	32
Relaxant	2	5	8	2	17
Hallucinogen	1	9	9	3	22
Depressant	2	7	8	1	18
Light	1	10	8	4	23
Darkness	3	13	13	5	34
Stone	1	11	12	4	28
Air	4	16	16	5	41
Invisibility	1	5	9	3	18
Fire	3	17	17	6	43
Luck	2	5	8	2	17
Tough	1	16	14	2	33
Wisdom	0	9	7	3	19
Intelligence	1	7	7	2	17
Cure Poison	1	5	8	3	17
Tiring	1	9	9	4	23
Spiked	0	6	10	3	19
Speed	0	10	9	3	22
Web	1	8	9	3	21
Enrage	1	9	10	2	22
Grow	1	8	12	2	23
Shrink	1	7	9	3	20
Hard	0	12	12	2	26
Illness	0	8	9	2	19
Tasty	1	7	6	2	16
Polymorph	0	9	7	1	17
Hair	0	7	6	3	16
Sadness	0	9	9	3	21
Joy	0	5	5	2	12
Change	0	10	5	0	15
Noise	0	7	6	5	18
Electricity	3	7	8	3	21
Love	0	11	11	0	22
Water	4	10	9	2	25
Fear	0	8	9	3	20
Force	0	10	9	2	21
Temporal	0	4	4	2	10
Gate	0	4	5	2	11
